Rank,"Name, Team",Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG
99.0,"Jordan Washington, Iona",Sr.,2023-06-08 00:00:00,F,35,233,1,162,629,18.0
100.0,"Ahmad Thomas, UNC Asheville",Jr.,2023-06-03 00:00:00,G,33,243,37,70,593,18.0
101.0,"Khallid Hart, Marist",Sr.,2023-06-02 00:00:00,G,32,186,64,137,573,17.9
102.0,"David Nichols, UAlbany",So.,6-0,G,35,248,51,78,625,17.9
103.0,"Brandon Tabb, Bethune-Cookman",Jr.,2023-06-05 00:00:00,G,32,187,106,90,570,17.8
104.0,"Lavell Boyd, Kansas City",Sr.,6-0,G,35,189,87,158,623,17.8
,"Joe Chealey, Col. of Charleston",Jr.,2023-06-04 00:00:00,G,35,175,65,208,623,17.8
106.0,"Martez Walker, Oakland",Jr.,2023-06-06 00:00:00,G,34,195,71,143,604,17.8
107.0,"Bonzie Colson, Notre Dame",Jr.,2023-06-05 00:00:00,F,36,236,26,141,639,17.8
,"Derick Newton, Stetson",So.,2023-06-07 00:00:00,F,32,184,61,139,568,17.8
109.0,"Erik McCree, Louisiana Tech",Sr.,2023-06-08 00:00:00,F,33,202,54,127,585,17.7
110.0,"Devin Sibley, Furman",Jr.,2023-06-02 00:00:00,G,34,201,79,121,602,17.7
111.0,"Jaron Blossomgame, Clemson",Sr.,2023-06-07 00:00:00,F,33,220,24,120,584,17.7
112.0,"J.R. Holder, Jacksonville",Sr.,2023-06-07 00:00:00,F,32,200,45,120,565,17.7
113.0,"Ahmaad Rorie, Montana",Jr.,2023-06-01 00:00:00,G,31,192,63,100,547,17.6
114.0,"B.J. Johnson, La Salle",Jr.,2023-06-07 00:00:00,F,29,168,64,109,509,17.6
115.0,"Shawn Prudhomme, Southern U.",Sr.,2023-06-04 00:00:00,F,33,212,75,80,579,17.5
116.0,"Tre' Coggins, Cal St. Fullerton",Sr.,2023-06-02 00:00:00,G,30,177,89,82,525,17.5
117.0,"Evan Boudreaux, Dartmouth",So.,2023-06-08 00:00:00,F,27,166,37,103,472,17.5
118.0,"Blake Hamilton, Buffalo",Sr.,2023-06-06 00:00:00,G,32,189,59,122,559,17.5
119.0,"Jeffrey Carroll, Oklahoma St.",Jr.,2023-06-06 00:00:00,G,33,198,59,121,576,17.5
120.0,"Bakari Copeland, UMES",Sr.,2023-06-06 00:00:00,F,34,194,40,164,592,17.4
121.0,"Reid Travis, Stanford",Jr.,2023-06-08 00:00:00,F,27,176,0,118,470,17.4
122.0,"Chandler Hutchison, Boise St.",Jr.,2023-06-07 00:00:00,G,32,207,26,117,557,17.4
123.0,"Albert Owens, Oral Roberts",Jr.,2023-06-09 00:00:00,C,30,206,3,107,522,17.4
124.0,"B.J. Taylor, UCF",So.,2023-06-02 00:00:00,G,29,165,48,126,504,17.4
125.0,"Damyean Dotson, Houston",Sr.,2023-06-05 00:00:00,G,32,202,108,44,556,17.4
126.0,"C.J. Bryce, UNCW",So.,2023-06-05 00:00:00,G,35,231,42,104,608,17.4
127.0,"Shamorie Ponds, St. John's (NY)",Fr.,2023-06-01 00:00:00,G,33,191,75,116,573,17.4
128.0,"Johnathan Motley, Baylor",Jr.,2023-06-10 00:00:00,F,34,226,9,128,589,17.3
129.0,"Christian Keeling, Charleston So.",Fr.,2023-06-03 00:00:00,G,31,183,25,146,537,17.3
