RK,Unnamed: 1,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2010,Drafted?,Draft Pick,Draft Year
319,Michael Thompson,G,34,37.7,14.2,4.4,10.5,42.3,2.6,6.3,41.1,2.7,3.3,82.9,1.9,4.1,1.1,0.1,1.7,,,,,,
320,Stan Okoye,F,29,21.9,14.2,5.5,10.6,52.0,0.7,2.3,28.8,2.6,4.3,58.7,6.6,0.5,0.8,1.5,1.7,,,,,,
321,Joe Trapani,F,30,29.6,14.1,5.1,11.8,43.6,1.7,4.8,35.2,2.2,2.7,80.2,6.4,1.3,0.9,0.7,1.4,,,,,,
322,JaMychal Green,F,31,27.0,14.1,5.2,10.5,49.5,0.0,0.2,0.0,3.7,5.3,69.5,7.2,1.1,0.9,1.7,2.5,,,,,,
322,Chris Flores,G,31,30.2,14.1,4.9,11.6,42.1,1.9,5.0,37.7,2.5,3.7,67.8,3.9,2.2,1.8,0.0,1.9,,,,,,
322,Tommy Mason-Griffin,G,31,35.7,14.1,4.7,11.9,39.8,2.3,5.3,42.4,2.4,2.9,81.3,2.9,5.0,0.9,0.0,2.8,,,,,,
325,Shelvin Mack,G,38,30.9,14.1,5.1,11.1,45.4,1.9,4.8,39.1,2.1,2.9,73.4,3.7,3.0,1.4,0.1,2.1,Yes,34.0,2011.0,,,
326,Bill Clark,G-F,30,32.1,14.1,4.4,10.8,41.2,1.5,5.5,27.9,3.7,5.0,74.0,6.0,2.1,1.0,0.4,2.5,,,,,,
327,Derrick Caracter,F,27,26.7,14.1,5.5,9.7,56.7,0.1,0.6,26.7,3.0,4.4,67.2,8.1,1.1,1.0,0.9,2.9,Yes,58.0,2010.0,Yes,58.0,2010.0
328,Jared Mintz,F,31,27.7,14.1,4.9,9.1,53.7,0.1,0.5,20.0,4.2,4.8,87.3,5.7,2.1,0.6,0.3,2.1,,,,,,
329,Michael Roll,G,32,35.8,14.1,5.2,11.2,46.8,2.5,5.9,42.6,1.1,1.5,76.6,2.8,3.6,1.0,0.1,1.9,,,,,,
329,Vincent Simpson,G,32,29.1,14.1,4.8,12.0,40.4,1.9,6.3,30.5,2.5,3.3,73.8,2.1,2.6,1.6,0.0,3.1,,,,,,
331,Nik Raivio,G,17,29.2,14.1,5.2,12.2,42.5,0.9,3.1,28.8,2.8,4.5,63.2,6.1,1.9,1.0,0.0,2.5,,,,,,
