RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2007,Drafted?,Draft Pick,Draft Year
408,Craig Bradshaw,F-C,32,28.3,13.5,4.9,10.1,48.8,1.0,3.2,32.7,2.7,4.4,60.6,6.3,1.5,,,,,,
408,Luke Rogers,G,32,25.8,13.5,4.6,11.0,42.2,1.5,4.2,36.6,2.8,3.8,73.3,3.7,3.0,,,,,,
410,J'Nathan Bullock,F,31,30.8,13.5,4.6,11.1,41.6,0.4,1.4,25.0,3.9,5.3,74.8,6.5,1.2,,,,,,
411,Jacob Burtschi,F,35,32.1,13.5,4.8,9.7,49.7,1.8,4.5,39.0,2.1,2.8,77.3,6.0,2.3,,,,,,
412,Dominic McGuire,G-F,32,32.9,13.5,4.8,10.2,47.1,0.6,2.1,29.9,3.3,5.7,58.6,9.8,3.3,Yes,47.0,2007.0,Yes,47.0,2007.0
412,Jason Richards,G,34,34.3,13.5,4.3,10.3,41.5,1.6,4.1,37.6,3.4,4.2,81.1,3.8,7.3,,,,,,
412,Jamelle Cornley,F,30,36.1,13.5,5.6,11.0,50.5,0.0,0.2,14.3,2.3,4.1,56.9,6.7,1.7,,,,,,
415,Corey Brown,G,31,30.9,13.5,4.7,11.6,40.7,2.2,5.9,36.4,1.8,2.5,73.1,2.4,2.1,,,,,,
416,Brian Fisk,G,30,30.6,13.5,4.6,10.4,44.6,1.5,3.8,39.1,2.7,3.7,72.3,3.6,2.9,,,,,,
416,David Gomez,F,30,25.5,13.5,4.9,9.4,52.3,0.1,0.3,25.0,3.5,4.6,77.4,5.8,1.0,,,,,,
418,Kevin Kruger,G,31,31.1,13.5,3.8,9.6,39.5,2.6,7.5,34.6,3.3,3.9,83.5,2.6,5.1,,,,,,
418,Matt Nelson,F,31,29.6,13.5,5.1,8.9,57.8,0.0,0.0,0.0,3.2,5.5,57.9,8.9,1.5,,,,,,
418,Jonathan Heard,G-F,31,27.3,13.5,5.1,10.8,47.2,0.3,1.2,21.6,3.0,4.7,64.1,5.5,2.0,,,,,,
421,Jon Simon,G,29,33.1,13.4,4.4,11.7,37.9,2.5,6.3,39.6,2.1,2.7,76.9,2.3,1.7,,,,,,
422,Ramel Bradley,G,34,32.6,13.4,4.1,9.9,42.0,2.0,5.5,36.7,3.1,3.8,81.5,3.7,3.8,,,,,,
