RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2013,Drafted?,Draft Pick,Draft Year
270,Seth Hinrichs,F,34,28.6,14.5,4.7,10.1,46.1,2.3,5.0,45.6,2.9,3.7,77.0,4.9,1.8,0.6,0.1,1.8,,,,,,
270,Shane Larkin,G,36,36.4,14.5,5.1,10.6,47.9,1.9,4.7,40.6,2.4,3.1,77.7,3.8,4.6,2.0,0.1,2.3,Yes,18.0,2013.0,Yes,18.0,2013.0
276,Nathan Healy,F,31,35.0,14.5,5.4,11.2,48.4,1.7,4.4,38.5,2.0,2.5,80.3,7.7,1.4,1.9,1.5,1.6,,,,,,
277,Christian Williams,G,29,28.5,14.5,4.6,11.9,38.6,2.3,6.5,36.0,3.0,3.6,83.5,3.0,1.6,1.7,0.1,1.6,,,,,,
278,Marshawn Powell,F,32,25.6,14.5,5.5,11.2,48.7,0.8,2.4,34.6,2.7,4.2,64.2,5.4,1.3,1.2,1.2,1.8,,,,,,
279,Josh Greene,G,30,32.2,14.5,4.2,10.9,38.3,2.1,5.5,38.4,4.0,4.7,85.8,2.8,3.7,1.7,0.1,2.1,,,,,,
280,Stanton Kidd,F,31,32.2,14.5,5.6,10.1,55.3,0.6,1.6,37.3,2.7,3.8,69.7,6.9,1.0,1.0,0.6,2.1,,,,,,
281,Jordan Aaron,G,32,35.6,14.4,4.7,12.6,37.1,2.1,6.1,34.5,3.0,3.4,86.4,3.6,4.0,1.3,0.0,3.8,,,,,,
281,DeWayne Russell,G,32,33.3,14.4,4.7,11.7,39.8,1.3,3.8,33.9,3.8,5.3,73.2,2.4,3.2,1.5,0.1,3.1,,,,,,
283,Tim Rusthoven,F,30,28.5,14.4,5.6,10.0,56.0,0.1,0.6,22.2,3.1,4.8,64.1,7.0,2.0,0.5,0.9,1.8,,,,,,
284,Shawn Glover,F,33,32.7,14.4,6.0,12.1,49.9,0.2,1.1,22.2,2.1,2.9,71.1,5.1,1.9,1.2,1.3,2.1,,,,,,
284,Jason Calliste,G,33,35.2,14.4,4.0,10.4,38.9,2.2,6.1,36.5,4.1,4.9,83.4,3.1,3.3,1.3,0.2,2.2,,,,,,
286,James Michael McAdoo,F,36,29.9,14.4,5.8,13.1,44.5,0.0,0.1,0.0,2.8,4.8,57.8,7.3,1.1,1.5,0.4,2.7,,,,,,
287,Louis Montes,F,29,30.9,14.4,5.1,10.6,47.9,0.3,1.5,23.3,3.9,5.7,68.9,6.2,1.1,1.1,0.5,2.2,,,,,,
288,John-Caleb Sanders,G,36,30.2,14.4,4.6,10.7,42.9,1.3,3.5,35.7,3.9,5.1,77.6,3.9,3.6,0.9,0.1,2.6,,,,,,
289,Ryan Woods,G-F,28,35.3,14.4,4.5,11.5,38.8,3.0,7.2,41.8,2.4,2.9,82.9,4.8,1.6,1.1,0.6,1.4,,,,,,
290,Corey Wilford,G,31,28.7,14.4,5.0,11.1,45.5,2.6,6.2,42.5,1.6,2.3,71.8,3.6,2.2,0.8,0.3,1.8,,,,,,
291,Chris Gaston,F,17,31.1,14.4,5.6,12.0,47.1,0.0,0.0,0.0,3.1,4.5,67.5,7.5,1.0,1.2,1.4,2.6,,,,,,
292,Bernard Thompson,G,37,29.9,14.3,5.1,11.0,46.8,1.5,3.8,38.0,2.6,3.9,66.0,4.4,1.7,2.8,0.1,2.2,,,,,,
293,Pendarvis Williams,G,31,33.1,14.3,4.6,10.2,45.3,2.1,5.2,40.6,3.0,3.6,81.4,4.5,1.7,1.1,0.6,1.2,,,,,,
294,Demitrius Conger,F,29,36.4,14.3,4.4,9.6,46.2,1.3,3.7,35.8,4.1,4.8,87.0,7.1,3.2,0.9,0.6,2.4,,,,,,
295,Trey Freeman,G,33,37.2,14.3,5.2,11.7,44.2,0.7,1.4,50.0,3.2,3.9,82.8,3.2,5.8,1.4,0.1,2.7,,,,,,
296,Jay Canty,F,31,31.7,14.3,5.2,11.9,44.0,0.5,1.9,25.0,3.3,4.8,69.1,6.2,3.0,1.0,0.5,2.5,,,,,,
297,Tyreek Duren,G,34,34.5,14.2,4.7,10.4,45.5,1.4,3.6,38.5,3.4,4.4,77.7,2.9,3.3,1.6,0.4,2.0,,,,,,
298,D.J. Irving,G,30,34.7,14.2,4.5,11.4,39.2,1.9,5.3,36.5,3.4,4.3,78.3,3.3,3.6,1.4,0.0,2.7,,,,,,
299,Kareem Jamar,G,32,35.0,14.2,4.9,9.9,49.4,1.2,3.3,35.5,3.2,4.5,71.0,5.9,4.0,0.9,0.7,2.9,,,,,,
300,John Hart,G,19,32.8,14.2,5.2,11.9,43.2,2.1,5.4,38.8,1.8,2.3,77.3,3.1,2.2,1.4,0.4,3.4,,,,,,
301,Stephen Lumpkins,F,30,33.3,14.2,4.8,10.3,46.9,0.0,0.1,0.0,4.5,6.5,70.1,9.4,1.5,0.6,1.0,2.4,,,,,,
301,Colton Iverson,F-C,35,29.5,14.2,5.2,8.8,59.6,0.0,0.0,0.0,3.7,6.3,59.0,9.8,1.3,0.6,0.7,2.0,Yes,53.0,2013.0,Yes,53.0,2013.0
303,Manny Atkins,F,31,35.8,14.2,4.8,11.3,42.3,1.7,4.2,41.2,2.9,3.6,79.6,6.7,2.2,1.5,0.3,2.2,,,,,,
303,Jarred Shaw,F,31,29.3,14.2,5.8,10.7,53.9,0.0,0.2,20.0,2.6,3.6,72.3,8.4,0.8,0.3,1.0,2.1,,,,,,
305,Lovell Cook,F,26,27.6,14.2,5.8,10.7,54.0,0.2,0.3,57.1,2.5,3.3,74.7,3.2,0.3,1.0,0.3,1.5,,,,,,
306,Tim Williams,F,32,35.0,14.2,5.6,10.2,54.4,0.0,0.0,0.0,3.1,4.5,68.1,7.1,0.8,1.5,1.1,1.5,,,,,,
307,Branden Frazier,G,31,35.0,14.2,4.2,12.2,34.5,1.4,5.1,27.7,4.4,5.3,82.8,3.7,5.0,0.9,0.0,3.0,,,,,,
308,Travis Wallace,F,32,23.9,14.2,5.7,9.9,57.7,0.0,0.0,100.0,2.7,4.1,66.2,5.2,0.7,0.5,0.9,1.5,,,,,,
308,Justin Black,G,32,33.3,14.2,5.2,11.8,43.9,1.2,3.5,33.0,2.7,4.4,61.0,4.2,2.9,1.2,0.0,2.9,,,,,,
308,Jordan Williams,G,32,31.7,14.2,4.8,11.5,41.6,1.4,4.2,34.1,3.2,4.3,73.2,3.7,0.7,0.7,0.6,2.2,Yes,36.0,2011.0,,,
311,Kelsey Howard,G,28,29.9,14.1,5.0,11.4,43.6,2.0,5.1,38.5,2.3,3.4,66.3,4.0,0.6,0.8,0.2,1.5,,,,,,
312,Laurence Bowers,F,29,27.1,14.1,6.0,10.9,54.6,0.7,1.9,38.9,1.5,2.2,68.3,6.1,1.1,0.6,1.2,1.3,,,,,,
313,Archie Goodwin,G,33,31.8,14.1,4.8,10.8,44.0,0.5,1.9,26.6,4.1,6.4,63.7,4.6,2.7,1.1,0.5,3.1,Yes,29.0,2013.0,Yes,29.0,2013.0
314,Darien Brothers,G,34,29.2,14.1,4.2,10.2,41.1,2.5,5.8,42.9,3.2,3.7,87.3,2.4,1.2,1.0,0.2,1.3,,,,,,
314,D.J. Cooper,G,34,31.6,14.1,4.4,10.4,42.4,2.2,6.1,36.4,3.1,4.4,70.3,3.2,7.1,2.0,0.2,3.5,,,,,,
316,Matt Sullivan,G,28,36.7,14.1,4.5,11.0,41.2,1.9,5.5,34.2,3.1,4.4,71.5,4.3,2.2,1.7,0.1,1.8,,,,,,
316,Terry Rose,G,28,34.9,14.1,4.9,12.1,40.1,3.1,7.8,39.6,1.3,1.7,77.1,3.4,1.0,0.5,0.0,2.4,,,,,,
318,Tashan Newsome,G,30,27.9,14.1,5.0,11.5,43.2,0.6,2.5,25.0,3.5,4.9,72.6,5.1,2.6,0.6,0.1,1.9,,,,,,
318,Stephen Madison,F,30,30.9,14.1,4.9,10.3,47.4,0.9,3.3,28.0,3.4,4.7,73.0,4.7,2.2,0.6,0.4,2.5,,,,,,
320,Raijon Kelly,G,32,37.0,14.1,5.0,12.1,41.5,1.9,4.7,40.4,2.1,2.7,78.2,2.3,4.7,0.8,0.1,3.2,,,,,,
320,Malik Smith,G,32,33.1,14.1,4.2,11.6,36.4,3.0,8.3,36.2,2.7,3.5,76.6,2.7,1.3,1.0,0.0,2.1,,,,,,
322,Alec Brown,F,34,30.6,14.1,5.0,11.1,44.9,0.9,2.1,42.9,3.2,4.3,74.7,6.0,1.2,0.6,1.7,2.6,Yes,50.0,2014.0,,,
323,Ryan Sypkens,G,29,30.9,14.1,4.9,10.7,45.3,3.7,7.9,46.1,0.7,0.9,74.1,3.3,1.6,0.4,0.2,1.5,,,,,,
324,Ben Simons,F,32,34.6,14.1,4.8,11.0,43.6,2.4,6.1,40.0,2.1,2.3,88.0,3.6,1.8,0.9,0.3,1.8,,,,,,
325,Jalen Jones,G,32,32.4,14.0,5.2,10.2,50.6,0.3,0.7,34.8,3.5,4.8,73.0,7.7,1.0,1.2,0.7,2.2,,,,,,
326,Jordan Swing,F,33,30.5,14.0,4.9,10.5,46.7,1.8,5.2,35.9,2.4,3.0,78.8,5.8,2.7,1.3,0.4,1.8,,,,,,
327,Dwayne Evans,F,35,29.6,14.0,4.9,8.9,54.7,0.1,0.5,26.3,4.2,5.4,76.8,7.7,1.1,1.3,0.7,1.8,,,,,,
328,Sean McGonagill,G,28,37.5,14.0,5.0,12.5,39.6,2.2,6.2,35.1,1.9,2.8,67.9,4.5,3.9,1.3,0.1,3.0,,,,,,
328,DeQuan Hicks,F,29,20.2,14.0,5.6,9.5,58.3,0.0,0.0,0.0,2.9,4.1,70.0,5.9,1.7,1.6,0.6,2.3,,,,,,
330,Scott Bamforth,G,37,31.1,14.0,4.4,9.1,48.4,2.8,6.1,45.6,2.4,2.8,86.3,3.8,2.4,1.0,0.1,1.3,,,,,,
331,Kerron Johnson,G,33,30.0,14.0,4.2,9.1,45.8,0.5,1.7,28.6,5.2,6.7,77.7,3.2,4.8,1.7,0.0,3.2,,,,,,
331,Le'Bryan Nash,F,33,31.9,14.0,4.8,10.5,46.2,0.4,1.5,24.0,3.9,5.3,74.1,4.1,1.8,0.6,0.2,2.6,,,,,,
333,Nick Russell,G,32,36.2,14.0,5.6,13.6,40.8,0.8,2.6,31.7,2.0,2.8,73.0,3.6,4.3,1.5,0.3,3.8,,,,,,
334,Demarquelle Tabb,G,31,32.3,14.0,5.3,11.3,46.9,0.0,0.1,0.0,3.4,5.8,58.3,9.9,1.3,1.3,1.6,2.1,,,,,,
335,Jamie Adams,G,30,30.6,14.0,4.5,13.2,34.3,1.9,6.6,28.4,3.0,4.0,76.5,2.2,3.1,1.9,0.0,3.5,,,,,,
336,Cleanthony Early,F,39,25.1,13.9,4.7,10.4,45.5,1.2,3.8,31.8,3.3,4.2,79.1,5.4,0.6,0.7,0.9,1.6,Yes,34.0,2014.0,,,
337,Travis Smith,G,36,30.0,13.9,4.4,9.6,45.2,2.1,4.8,43.3,3.2,3.5,89.8,2.8,1.9,0.8,0.1,2.0,,,,,,
337,Andrew Nicholas,G,18,29.4,13.9,5.1,13.4,37.6,1.9,5.7,33.0,1.9,2.6,74.5,3.6,2.1,1.8,0.3,2.3,,,,,,
339,Reggie Bullock Jr,G-F,35,31.4,13.9,4.9,10.2,48.3,2.5,5.8,43.6,1.6,2.1,76.7,6.5,2.9,1.3,0.3,1.2,,,,,,
340,Brandon Britt,G,30,30.6,13.9,4.7,9.6,48.8,1.4,3.6,37.6,3.1,4.6,68.1,2.5,2.0,1.1,0.1,2.0,,,,,,
341,Rashad Whack,G,32,29.9,13.9,4.5,11.4,39.8,2.6,7.2,35.9,2.2,2.8,78.0,3.7,1.6,2.1,0.2,1.7,,,,,,
342,Gabe Knutson,F,30,28.1,13.9,5.0,9.9,51.0,0.4,1.4,31.7,3.4,4.9,69.2,4.3,1.1,0.4,0.4,1.3,,,,,,
343,Christian Moon,G,22,32.6,13.9,4.4,9.0,48.7,2.0,4.9,40.7,3.0,3.8,79.8,3.0,1.0,1.2,0.0,1.1,,,,,,
344,Valdélicio Joaquim,C,32,26.3,13.8,5.3,10.9,48.0,0.4,1.0,40.6,2.9,3.8,76.4,8.2,0.9,0.4,1.0,2.3,,,,,,
345,Dantrell Thomas,G,23,30.4,13.8,5.0,12.3,40.8,0.4,2.6,16.7,3.3,4.0,82.6,4.9,2.7,1.1,0.8,2.6,,,,,,
346,Daniel Mullings,G,35,34.3,13.8,4.8,10.1,47.0,0.6,1.5,37.0,3.7,4.9,75.9,5.2,2.6,2.3,0.5,3.0,,,,,,
347,Bryant Mbamalu,G,29,32.8,13.8,4.8,10.3,46.6,1.7,5.0,34.0,2.5,3.2,78.5,3.7,1.4,0.8,0.0,1.7,,,,,,
348,Jonathan Lee,G,24,35.6,13.8,4.4,10.5,42.2,1.0,3.1,32.4,4.0,5.2,76.0,4.4,4.0,1.8,0.0,2.5,,,,,,
349,Langston Galloway,G,32,35.7,13.8,4.7,11.3,41.4,2.5,6.3,39.4,1.9,2.5,77.2,3.6,2.3,1.4,0.3,1.5,,,,,,
350,Harold Washington,G,34,32.0,13.8,4.5,10.1,44.1,1.7,4.2,41.0,3.1,4.0,76.6,2.6,2.3,0.9,0.1,2.9,,,,,,
351,Dewayne Jackson,F,32,32.1,13.8,5.0,11.2,44.6,1.2,4.4,27.9,2.5,3.8,65.9,5.6,2.5,1.7,0.9,2.4,,,,,,
352,Mitch Patton,C,27,26.3,13.7,5.7,9.7,58.2,0.0,0.0,0.0,2.4,3.6,67.0,5.0,1.0,0.3,1.1,1.9,,,,,,
353,De'Mon Brooks,F,34,27.0,13.7,5.0,10.0,50.0,0.3,1.2,22.0,3.5,4.6,74.7,6.2,0.8,0.9,0.6,1.9,,,,,,
354,Jeff Withey,C,37,30.9,13.7,5.0,8.6,58.2,0.0,0.0,100.0,3.7,5.2,71.4,8.5,0.9,0.8,3.9,2.0,Yes,39.0,2013.0,Yes,39.0,2013.0
355,Anthony Downing,G,33,34.3,13.7,4.5,11.4,40.0,1.1,4.1,25.7,3.6,4.5,79.7,4.4,2.7,1.1,0.1,1.7,,,,,,
355,Dylan Talley,G,33,35.5,13.7,4.9,13.1,37.2,1.5,4.5,34.2,2.4,3.3,74.1,4.8,2.5,0.9,0.2,2.2,,,,,,
357,Darion Rackley,G,18,29.6,13.7,3.6,8.8,41.1,1.7,4.4,38.7,4.8,6.4,74.1,2.2,1.5,1.6,0.4,3.0,,,,,,
358,Devin Price,G,25,35.2,13.7,4.1,11.6,35.5,2.0,6.3,31.2,3.5,4.2,84.6,2.4,2.0,1.0,0.1,2.2,,,,,,
359,Michael Kessens,F,33,32.7,13.7,5.3,9.8,53.7,0.1,0.5,22.2,3.0,4.3,69.9,8.8,1.4,1.2,1.3,2.9,,,,,,
360,Jabari Brown,G,25,32.7,13.7,4.0,10.0,40.4,2.2,6.1,36.6,3.4,4.3,78.5,3.4,1.4,0.7,0.0,1.7,,,,,,
361,Anton Grady,F,6,27.0,13.7,6.0,12.3,48.6,0.0,0.2,0.0,1.7,2.8,58.8,5.5,2.2,2.2,1.3,2.8,,,,,,
362,Chasson Randle,G,34,31.0,13.6,4.6,11.5,39.9,1.8,5.0,35.9,2.7,3.4,78.4,2.9,2.6,1.1,0.1,2.3,,,,,,
363,Ferg Myrick,F,28,30.6,13.6,4.5,12.8,34.9,1.5,4.8,31.9,3.2,4.9,65.4,6.2,1.2,0.9,0.7,2.3,,,,,,
364,Victor Oladipo,G,36,28.4,13.6,5.1,8.4,59.9,0.8,1.9,44.1,2.7,3.6,74.6,6.3,2.1,2.2,0.8,2.3,Yes,2.0,2013.0,Yes,2.0,2013.0
365,Xavier Roberson,G,11,26.7,13.6,4.4,9.8,44.4,2.8,6.4,44.3,2.1,2.8,74.2,3.5,1.5,1.2,0.1,1.8,,,,,,
365,Kyree Jones,G,11,31.5,13.6,4.2,11.0,38.0,1.7,6.0,28.8,3.5,4.1,86.7,2.5,2.5,1.2,0.2,1.6,,,,,,
367,Myles Mack,G,31,30.3,13.6,4.6,9.6,48.0,2.0,4.3,46.2,2.4,2.7,88.2,2.6,2.7,1.8,0.1,1.8,,,,,,
368,Joe Jackson,G,36,32.6,13.6,4.7,9.0,51.9,1.1,2.4,44.7,3.2,4.4,73.0,3.3,4.8,1.7,0.2,2.8,,,,,,
368,Davon Marshall,G,36,32.2,13.6,4.3,9.6,44.5,3.0,6.9,43.1,2.1,2.4,85.2,2.1,2.8,0.8,0.1,2.0,,,,,,
370,Lorne Jackson,G,30,30.1,13.6,4.5,10.9,41.4,1.3,4.4,29.3,3.3,4.2,78.6,3.7,2.8,1.5,0.2,3.2,,,,,,
370,Brandon Triche,G,40,33.8,13.6,4.6,11.1,41.6,1.2,4.3,28.8,3.1,4.2,74.4,3.4,3.6,1.3,0.1,2.7,,,,,,
370,R.J. Price,G,30,30.8,13.6,4.5,12.2,36.6,2.7,7.6,36.1,1.9,2.7,70.7,2.5,2.5,1.1,0.1,2.3,,,,,,
