RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2006,Drafted?,Draft Pick,Draft Year
327,Taj Gray,F,29,30.4,14.2,5.1,9.0,56.9,0.0,0.0,0.0,4.0,5.6,71.0,7.7,0.9,,,,,,
328,Kammron Taylor,G,31,34.3,14.2,4.5,11.7,38.5,2.2,5.4,39.9,3.0,3.6,82.9,3.0,2.4,,,,,,
329,Joakim Noah,F-C,39,24.9,14.2,5.2,8.3,62.7,0.0,0.0,0.0,3.8,5.2,73.3,7.1,2.1,Yes,9.0,2007.0,,,
330,Ben Jacobson,G,33,36.2,14.2,4.8,12.3,38.9,1.8,5.4,32.8,2.8,3.6,77.5,3.9,3.8,,,,,,
331,Greg Brunner,F,34,32.0,14.1,4.8,10.6,45.4,0.4,1.2,29.3,4.1,6.0,69.5,9.2,1.8,,,,,,
332,Michael Gerrity,G,21,33.2,14.1,5.2,12.7,41.2,0.4,1.7,22.2,3.3,5.0,65.1,2.7,3.4,,,,,,
333,Akeem Scott,G,29,30.6,14.1,4.7,10.2,46.4,1.6,4.9,33.1,3.1,4.5,68.5,3.7,2.2,,,,,,
333,Jeremy Chappell,G,29,36.1,14.1,5.2,11.4,45.6,1.8,4.6,39.6,1.9,2.7,70.5,5.7,2.6,,,,,,
335,Alan Wiggins Jr,F,28,33.6,14.1,5.2,9.9,52.7,0.1,0.4,20.0,3.6,5.3,68.2,8.3,1.3,,,,,,
336,Mitchell Beauford,G,22,29.3,14.1,5.2,13.6,38.5,0.2,1.5,15.2,3.4,4.8,71.4,3.3,2.2,,,,,,
337,Robby Bostain,G-F,28,31.5,14.1,4.8,10.0,48.0,1.0,2.5,40.0,3.5,4.6,76.0,5.7,3.4,,,,,,
338,Jibril Hodges,G,30,28.2,14.1,4.8,11.9,40.6,2.9,7.8,37.3,1.5,1.8,84.9,1.5,1.5,,,,,,
338,Cameron Bennerman,G-F,30,32.1,14.1,4.8,10.1,47.0,1.7,5.0,33.8,2.8,3.4,84.2,3.1,1.9,,,,,,
340,Chris Watson,F,25,27.5,14.0,5.6,11.1,50.2,0.5,1.6,32.5,2.4,3.6,66.7,4.4,1.4,,,,,,
341,Matthew Lojeski,G,27,34.9,14.0,4.7,9.9,47.8,2.1,5.3,38.9,2.5,2.9,85.9,4.1,2.3,,,,,,
342,Chris Hernandez,G,30,33.1,14.0,3.9,9.0,43.9,2.5,5.3,47.2,3.6,4.0,90.1,2.2,3.3,,,,,,
342,Walker Russell Jr,G,29,35.2,14.0,4.3,10.0,42.9,1.6,3.7,43.4,3.9,4.3,89.6,3.8,6.8,,,,,,
342,Yassin Idbihi,F-C,32,28.9,14.0,4.9,10.4,46.8,0.8,2.1,35.8,3.5,4.5,77.8,6.9,1.6,,,,,,
342,Mike Trimboli,G,30,34.8,14.0,4.3,11.1,38.9,1.8,5.0,35.1,3.6,4.2,84.3,2.8,5.5,,,,,,
346,Tim Parham,C,29,32.4,14.0,5.5,10.3,53.0,0.0,0.0,0.0,3.0,5.7,53.0,10.3,0.6,,,,,,
347,Keston Roberts,G,28,31.6,14.0,5.2,13.1,39.9,1.5,5.3,28.4,2.0,2.5,80.3,2.9,1.9,,,,,,
348,Adam Haluska,G,34,34.5,13.9,4.4,10.5,41.7,1.9,5.4,34.6,3.3,3.9,84.8,4.7,2.3,Yes,43.0,2007.0,,,
349,Howard Wilkerson,F,29,30.7,13.9,5.5,9.7,56.9,0.1,0.7,19.0,2.8,3.9,70.8,7.0,1.7,,,,,,
349,Ian Vouyoukas,F-C,29,32.2,13.9,4.7,8.6,54.8,0.0,0.2,0.0,4.6,6.3,72.5,7.4,1.7,,,,,,
351,Demetrius 'D.J.' Brown,F,26,26.7,13.9,4.7,11.0,43.2,0.1,0.5,23.1,4.3,6.0,72.4,5.8,1.4,,,,,,
351,Joe Martin,G-F,26,32.0,13.9,5.3,12.2,43.8,0.6,2.8,22.2,2.6,4.9,53.1,9.7,1.8,,,,,,
353,Wayne Arnold,G,28,36.1,13.9,4.7,10.9,43.1,2.5,6.0,42.0,2.0,2.7,73.7,4.8,3.1,,,,,,
