RK,Unnamed: 1,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2008,Drafted?,Draft Pick,Draft Year
486,Ken Horton,F,29,29.2,12.7,5.0,9.0,55.2,0.7,1.9,37.5,2.0,2.7,75.6,5.4,1.1,,,,,,
487,Ty Lawson,G,32,25.3,12.7,4.4,8.5,51.5,0.9,2.6,36.1,3.0,3.6,83.5,2.7,5.2,Yes,18.0,2009.0,,,
488,Etienne Brower,F,36,30.1,12.7,4.1,9.0,45.7,2.3,5.3,42.9,2.2,3.1,69.0,6.9,1.6,,,,,,
489,Alvin Abreu,G,29,33.0,12.7,4.2,11.6,35.9,2.1,5.9,36.0,2.2,2.7,81.8,3.8,1.8,,,,,,
490,Shawn James,F-C,28,23.8,12.6,4.9,9.0,54.8,0.5,1.6,33.3,2.3,3.0,75.0,6.9,1.1,,,,,,
491,Nik Raivio,G,30,29.1,12.6,4.5,11.1,40.8,1.5,4.7,32.6,2.0,2.5,80.3,3.6,2.1,,,,,,
492,Ryne Hamblet,G,8,31.5,12.6,4.4,11.8,37.2,1.0,4.6,21.6,2.9,3.1,92.0,3.9,5.4,,,,,,
493,Tom Hammonds,G,29,32.2,12.6,4.0,11.7,34.5,1.3,4.4,28.7,3.3,4.4,73.6,3.9,1.1,,,,,,
493,Mike Christensen,F,29,30.5,12.6,3.7,9.6,38.6,1.8,4.8,36.4,3.5,4.6,76.5,6.0,2.6,,,,,,
495,Shawn Huff,G-F,36,31.4,12.6,4.3,8.7,48.7,2.5,5.3,47.9,1.6,1.9,83.8,4.5,1.6,,,,,,
496,P'Allen Stinnett,G,33,24.4,12.6,4.4,9.7,45.3,1.2,3.6,31.7,2.7,3.4,78.6,3.4,1.8,,,,,,
497,Matt Bouldin,G,32,32.0,12.6,4.3,9.4,46.2,1.4,3.9,36.5,2.5,3.2,76.7,3.7,2.9,,,,,,
498,Jeremy Lin,G,30,31.3,12.6,4.9,10.9,44.8,1.0,3.5,27.9,1.8,2.9,62.1,4.8,3.6,,,,,,
499,Shaun Pruitt,C,34,27.0,12.6,4.8,8.4,57.2,0.0,0.0,0.0,3.0,5.3,56.4,7.3,0.8,,,,,,
