RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,Unnamed: 17,Unnamed: 18,2021,Drafted?,Draft Pick,Draft Year
417,Logan Johnson,G,20,32.0,13.3,4.5,9.9,45.5,0.7,2.8,23.2,3.7,4.9,74.5,3.6,1.9,,,,,,
418,Neftali Alvarez,G,27,29.9,13.3,4.7,10.4,44.7,0.9,2.7,31.1,3.1,3.9,79.2,3.6,4.2,,,,,,
419,Alessandro Lever,C,24,28.5,13.3,4.9,9.7,50.9,1.3,3.4,37.8,2.2,3.4,63.4,5.4,1.7,,,,,,
420,Alan Griffin,F,28,29.3,13.3,4.7,10.9,43.1,2.0,5.5,36.1,1.9,2.1,89.7,5.8,1.8,,,,,,
420,Damaria Franklin,G,21,28.8,13.3,5.1,11.8,43.3,1.7,5.5,30.4,1.4,2.1,68.2,5.0,1.2,,,,,,
422,Ronaldo Segu,G,25,33.1,13.3,4.6,11.2,41.6,1.8,4.5,39.8,2.2,2.7,80.9,3.1,4.3,,,,,,
423,Nate Laszewski,F,26,31.3,13.3,4.6,7.8,58.9,1.4,3.2,43.4,2.7,3.8,71.0,7.3,0.8,,,,,,
424,Kyle Foster,G,4,27.0,13.3,4.5,11.5,39.1,2.5,7.5,33.3,1.8,2.5,70.0,1.3,1.3,,,,,,
424,Aaron Clarke,G,16,32.1,13.3,3.9,11.1,34.8,1.5,5.8,25.8,4.0,4.9,81.0,1.4,2.9,,,,,,
426,Ross Cummings,G,29,32.7,13.2,4.6,10.1,45.9,2.5,6.2,40.3,1.5,1.9,76.8,3.7,2.6,,,,,,
427,Malek Green,F,13,23.7,13.2,4.9,9.3,52.9,0.8,2.4,35.5,2.5,3.7,68.8,7.2,0.9,,,,,,
427,Justin Forrest,G,26,28.8,13.2,4.3,11.7,36.6,1.8,5.8,32.0,2.8,3.7,77.9,3.4,2.6,,,,,,
429,Justin Roberts,G,22,30.7,13.2,4.8,10.9,43.8,1.6,4.7,35.0,2.0,2.8,73.8,3.7,4.7,,,,,,
430,Michael Ertel,G,29,28.7,13.2,5.0,12.3,40.6,1.2,4.3,27.0,2.0,2.5,81.9,2.6,1.3,,,,,,
431,Matt Coleman,G,27,34.4,13.2,4.7,9.6,48.5,1.6,4.2,37.7,2.3,2.8,81.3,3.5,4.0,,,,,,
432,Sir'Jabari Rice,G,18,30.2,13.2,4.6,9.7,46.9,1.8,5.2,35.5,2.2,2.7,81.6,5.3,2.2,,,,,,
