RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Unnamed: 20,Unnamed: 21,2011,Drafted?,Draft Pick,Draft Year
46,Gary Flowers,F,31,31.1,18.8,7.1,14.8,47.6,1.6,4.0,40.7,3.0,4.2,72.3,7.7,1.1,1.1,1.4,2.5,,,,,,
47,Ryan Rossiter,F,31,37.4,18.7,6.6,14.2,46.8,0.1,0.6,15.0,5.4,6.8,78.7,13.2,1.5,0.9,1.4,2.3,,,,,,
48,Malcolm Delaney,G,34,38.2,18.7,5.5,13.0,42.0,2.5,6.1,40.8,5.3,6.3,85.0,3.5,4.0,1.6,0.2,3.0,,,,,,
49,Landon Clement,G,30,36.0,18.7,6.1,14.1,43.2,3.6,8.9,40.7,2.9,3.6,80.4,3.7,1.1,1.1,0.0,1.4,,,,,,
50,Anthony Gurley,G,30,30.7,18.7,6.4,15.4,41.8,2.0,5.7,34.9,3.8,5.2,73.1,4.4,1.4,1.0,0.1,2.8,,,,,,
51,Jordan Hamilton,G-F,36,32.2,18.6,6.8,15.3,44.0,2.5,6.5,38.5,2.6,3.4,77.9,7.7,2.1,0.9,0.6,2.1,Yes,26.0,2011.0,Yes,26.0,2011.0
52,Desmond Holloway,G,26,32.0,18.5,6.2,12.4,50.2,0.9,2.6,35.3,5.1,6.7,76.3,6.9,1.7,1.3,0.3,2.4,,,,,,
53,Mike Glover,F,37,34.3,18.4,7.0,11.5,61.0,0.0,0.1,0.0,4.4,7.0,62.3,10.1,0.9,0.8,0.9,2.3,,,,,,
54,Ben Hansbrough,G,34,35.4,18.4,5.7,11.9,47.9,2.6,5.9,43.5,4.4,5.4,81.5,3.9,4.3,1.2,0.1,2.4,,,,,,
55,Austin Kenon,G,28,30.0,18.4,5.4,12.3,43.8,3.3,7.9,41.9,4.3,5.0,84.4,3.5,3.3,1.0,0.0,2.0,,,,,,
56,Leroy Nobles,G-F,32,35.8,18.3,5.6,11.9,47.4,2.0,5.5,37.1,5.0,6.1,82.1,4.0,1.3,0.8,0.1,2.1,,,,,,
57,Dwight Hardy,G,33,34.2,18.3,5.9,13.1,44.8,1.9,5.3,35.4,4.6,5.5,84.5,2.9,1.9,1.3,0.1,2.2,,,,,,
58,Jon Leuer,F,34,33.5,18.3,6.7,14.2,47.0,1.6,4.3,37.0,3.3,3.9,84.3,7.2,1.6,0.5,0.9,1.6,Yes,40.0,2011.0,Yes,40.0,2011.0
59,Markeith Cummings,F,31,35.5,18.3,6.4,14.0,45.6,0.4,1.8,21.1,5.1,7.6,67.2,5.0,1.8,1.5,0.1,2.9,,,,,,
60,Papa Dia,F,35,33.6,18.3,6.9,12.0,57.7,0.4,0.9,43.3,4.0,5.3,75.3,9.6,1.8,0.7,2.2,3.6,,,,,,
61,Antwan Carter,C,31,32.5,18.2,7.6,13.4,57.2,0.3,1.2,24.3,2.6,3.9,68.3,9.5,1.6,0.9,0.7,2.1,,,,,,
62,Reggie Jackson,G,34,34.1,18.2,6.4,12.8,50.3,2.1,5.0,42.0,3.2,4.0,79.6,4.3,4.5,1.1,0.5,2.4,Yes,24.0,2011.0,Yes,24.0,2011.0
63,Jordan Taylor,G,34,36.5,18.1,5.7,13.2,43.3,2.2,5.1,42.9,4.5,5.4,83.2,4.1,4.7,0.7,0.1,1.2,,,,,,
64,Jovonni Shuler,G-F,30,34.7,18.1,5.8,14.4,40.0,2.6,7.3,35.0,4.0,5.4,73.6,5.1,2.0,1.3,0.4,2.7,,,,,,
65,E'Twaun Moore,G,34,33.9,18.0,6.5,14.5,44.7,2.1,5.1,40.0,2.9,4.1,70.9,5.1,3.2,1.2,0.5,1.8,Yes,55.0,2011.0,Yes,55.0,2011.0
66,Vaughn Duggins,G,33,35.2,18.0,6.1,13.7,44.7,1.1,3.6,31.1,4.6,5.6,82.2,3.8,2.2,1.5,0.1,1.6,,,,,,
66,Tristan Thompson,G,33,32.0,18.0,4.8,10.4,45.9,2.0,4.8,41.8,6.4,7.7,83.4,3.2,1.8,0.7,0.1,2.2,Yes,4.0,2011.0,Yes,4.0,2011.0
68,Keith Benson,C,35,32.4,17.9,6.6,12.1,54.7,0.3,0.7,39.1,4.5,7.0,64.3,10.1,1.1,0.8,3.6,1.9,Yes,48.0,2011.0,Yes,48.0,2011.0
69,Mike Smith,G,35,34.1,17.9,6.3,13.5,46.9,1.3,3.7,36.7,3.9,4.9,78.9,6.8,1.9,0.8,0.4,2.3,,,,,,
70,Justin Harper,F,37,31.8,17.9,6.6,12.4,53.4,2.1,4.6,44.8,2.5,3.2,79.7,6.9,1.2,0.6,1.2,1.5,Yes,32.0,2011.0,Yes,32.0,2011.0
71,Jamarr Sanders,G,31,34.8,17.8,6.4,14.9,42.5,2.9,7.5,38.5,2.2,2.7,80.7,4.6,1.9,0.9,0.3,2.9,,,,,,
72,Will Pratt,F,32,25.0,17.8,6.0,11.9,50.8,0.7,2.1,30.9,5.0,7.5,66.8,4.4,1.2,1.3,0.3,3.4,,,,,,
73,Adnan Hodzic,F,30,31.6,17.7,6.9,12.2,56.3,0.0,0.3,12.5,4.0,5.5,72.6,7.5,1.0,0.3,0.1,2.2,,,,,,
74,Nick Barbour,G,29,29.8,17.7,5.5,13.6,40.5,2.3,6.5,36.2,4.3,5.5,78.8,3.0,1.0,1.0,0.1,2.3,,,,,,
75,Damian Lillard,G,10,28.5,17.7,4.9,11.2,43.8,1.9,5.5,34.5,6.0,7.0,85.7,3.8,3.3,1.4,0.2,2.8,Yes,6.0,2012.0,,,
76,Chad Tomko,G,31,36.5,17.6,6.1,14.8,41.4,2.6,7.0,37.0,2.8,3.5,81.3,5.9,4.3,1.9,0.3,3.2,,,,,,
77,Austin Freeman,G,32,33.8,17.6,6.4,13.4,47.6,1.9,5.4,35.8,2.9,3.4,87.0,3.7,2.4,0.7,0.2,1.7,,,,,,
78,Denzel Bowles,F,33,32.2,17.6,6.8,11.8,58.1,0.0,0.0,0.0,3.9,5.5,71.3,8.8,2.2,0.6,1.6,3.3,,,,,,
79,Reggie Hamilton,G,35,28.8,17.6,5.9,12.1,48.9,2.3,6.3,37.1,3.4,4.1,83.9,2.5,5.3,1.3,0.2,3.6,,,,,,
80,Jamarco Warren,G,32,33.4,17.6,5.6,12.8,43.9,2.5,6.8,36.9,3.8,4.4,86.6,3.0,2.8,1.4,0.1,3.1,,,,,,
81,Jay Couisnard,F,29,33.5,17.6,5.9,12.1,48.9,1.6,4.2,36.6,4.2,6.7,63.7,5.6,1.6,1.3,0.6,3.2,,,,,,
82,Ravern Johnson,G,28,34.9,17.6,5.8,13.5,43.0,3.0,7.4,40.3,3.0,3.9,78.0,3.6,0.8,0.4,0.5,1.3,,,,,,
83,Delroy James,F,34,34.1,17.5,6.3,14.3,43.7,0.9,3.7,25.2,4.0,5.5,73.7,7.9,2.7,1.6,1.1,3.4,,,,,,
84,Darrion Pellum,G,32,36.6,17.5,5.9,15.1,38.8,2.3,6.8,33.6,3.4,4.8,71.4,4.3,2.0,1.7,0.3,2.9,,,,,,
85,Kyrie Irving,G,11,27.5,17.5,5.0,9.5,52.9,1.6,3.5,46.2,5.8,6.5,90.1,3.4,4.3,1.5,0.5,2.5,Yes,1.0,2011.0,Yes,1.0,2011.0
86,Isiah Williams,G,30,30.7,17.4,5.6,14.2,39.8,2.7,7.3,37.6,3.4,4.0,84.9,2.7,1.9,0.4,0.1,1.9,,,,,,
87,Iman Shumpert,G,31,32.0,17.3,5.7,14.1,40.6,1.4,4.9,27.8,4.5,5.6,80.6,5.9,3.5,2.7,0.2,2.3,Yes,17.0,2011.0,Yes,17.0,2011.0
88,Brandon Knight,G,38,35.9,17.3,5.7,13.5,42.3,2.3,6.1,37.7,3.6,4.5,79.5,4.0,4.2,0.7,0.2,3.2,Yes,8.0,2011.0,Yes,8.0,2011.0
89,Kenneth Faried,F-C,35,34.7,17.3,6.7,10.7,62.3,0.0,0.0,0.0,4.0,6.9,57.7,14.5,1.1,1.9,2.3,2.6,Yes,22.0,2011.0,Yes,22.0,2011.0
90,Diante Garrett,G,32,36.7,17.3,6.7,16.2,41.3,1.8,5.8,31.9,2.1,2.5,82.5,3.7,6.1,1.7,0.2,3.3,,,,,,
91,Cameron Wells,G,32,35.8,17.3,6.2,14.1,43.7,0.6,2.4,24.7,4.3,5.3,82.7,5.1,4.3,1.4,0.3,2.4,,,,,,
92,Marcus Morris Sr,F,38,28.3,17.2,6.3,11.1,57.0,0.7,2.0,34.2,3.9,5.7,68.8,7.6,1.6,0.8,0.6,1.8,,,,,,
93,Casper Ware,G,34,34.9,17.2,5.1,12.0,42.2,2.2,5.8,38.1,4.9,6.0,81.0,2.5,4.4,1.6,0.2,3.0,,,,,,
94,Drew Viney,F,27,33.7,17.2,6.2,12.9,47.9,1.4,3.7,37.6,3.4,4.4,76.7,6.6,1.8,0.8,1.0,2.9,,,,,,
95,Shane Gibson,G,29,32.6,17.2,6.0,13.6,44.0,2.6,6.7,38.9,2.7,3.2,83.7,4.0,1.6,1.4,0.6,2.7,,,,,,
96,Jared Sullinger,F,37,31.7,17.2,6.0,11.1,54.1,0.1,0.3,25.0,5.1,7.2,70.4,10.2,1.2,1.0,0.5,1.6,Yes,21.0,2012.0,,,
97,Andy Ogide,F,32,29.5,17.2,6.7,11.4,58.7,0.3,0.8,37.5,3.4,5.3,65.1,7.7,0.7,0.8,0.6,2.3,,,,,,
98,Will Clyburn,G,30,34.7,17.1,5.4,12.1,45.0,2.1,5.1,40.3,4.2,5.5,75.9,7.8,1.0,1.1,0.2,2.5,,,,,,
99,Nikola Vucevic,F,34,34.9,17.1,6.3,12.5,50.5,0.9,2.4,34.9,3.6,4.8,75.5,10.3,1.6,0.5,1.4,1.7,,,,,,
100,Carl Montgomery,F,32,27.2,17.1,6.4,12.4,51.6,0.1,0.5,18.8,4.2,6.6,63.2,7.7,1.1,0.7,0.9,2.2,,,,,,
101,TyShwan Edmondson,G,33,32.0,17.1,6.2,14.8,42.3,2.2,5.9,36.9,2.4,3.2,74.5,4.5,2.0,1.8,0.5,2.0,,,,,,
102,Matt Lander,G,30,36.2,17.0,5.1,12.4,41.0,1.4,4.1,33.3,5.5,7.2,76.3,2.3,2.7,0.9,0.2,3.1,,,,,,
103,Carl Jones,G,32,33.9,17.0,5.1,12.4,41.2,1.7,4.6,37.0,5.2,6.9,74.7,2.6,3.4,1.1,0.1,2.4,,,,,,
104,Shamari Spears,F,5,33.0,17.0,5.0,10.6,47.2,1.2,2.8,42.9,5.8,7.6,76.3,3.2,0.6,0.8,0.4,2.0,,,,,,
104,Darren Moore,G,32,30.6,17.0,5.3,10.5,50.1,1.3,3.7,35.6,5.1,7.0,73.5,5.9,1.7,1.8,0.2,2.5,,,,,,
104,Kalin Lucas,G,34,33.4,17.0,5.7,13.3,42.8,1.6,4.0,39.0,4.0,4.9,82.0,2.1,3.4,1.0,0.1,2.6,,,,,,
104,Thomas Coleman,F-C,31,31.9,17.0,6.5,10.4,61.9,0.0,0.0,0.0,4.1,6.4,63.8,10.5,1.4,1.2,2.7,2.5,,,,,,
108,Devin Gibson,G,34,35.0,17.0,4.7,11.1,42.3,0.8,2.6,30.3,6.8,8.7,78.1,5.2,5.4,2.7,0.1,3.3,,,,,,
